feature_id,start_frame,used_num,score,stereo_error[3],track_error_per_frame[3],truth_error_per_frame[4]
796,69,1,23704,0 0 0,,
797,69,1,0.520964,0 0 0,,
798,69,1,0.754204,0 0 0,,
799,69,1,2.96927,0 0 0,,
800,69,1,0.798408,0 0 0,,
801,69,1,1.91168,0 0 0,,
803,69,1,0.285361,0 0 0,,
804,69,1,5959.69,0 0 0,,
805,69,1,26098.8,0 0 0,,
806,69,1,5540.94,0 0 0,,
808,69,1,0.464871,0 0 0,,
810,69,1,0.528323,0 0 0,,
811,69,1,1.86852,0 0 0,,
812,69,1,0.818542,0 0 0,,
819,69,1,6113.68,0 0 0,,
821,69,1,0.906574,0 0 0,,
822,69,1,2.06701,0 0 0,,
824,69,1,0.369608,0 0 0,,
825,69,1,2.08206,0 0 0,,
828,69,1,0.713364,0 0 0,,
830,69,1,0.196698,0 0 0,,
832,69,1,0.392556,0 0 0,,
833,69,1,3.56385,0 0 0,,
837,70,1,1.01097,0 0 0,,
838,70,1,0.495529,0 0 0,,
839,70,1,0.515151,0 0 0,,
840,70,1,0.596392,0 0 0,,
841,70,1,0.180316,0 0 0,,
842,70,1,976.031,0 0 0,,
843,70,1,1.97362,0 0 0,,
844,70,1,0.805248,0 0 0,,
845,70,1,11615.2,0 0 0,,
846,70,1,0.699884,0 0 0,,
847,70,1,1.706,0 0 0,,
848,70,1,1.21288,0 0 0,,
849,70,1,0.639058,0 0 0,,
850,70,1,0.763771,0 0 0,,
854,70,1,0.52735,0 0 0,,
856,70,1,0.962388,0 0 0,,
857,70,1,55670.5,0 0 0,,
858,70,1,0.916335,0 0 0,,
859,70,1,8738.31,0 0 0,,
860,70,1,13972.1,0 0 0,,
861,70,1,1.26552,0 0 0,,
863,70,1,0.638262,0 0 0,,
864,70,1,0.966433,0 0 0,,
866,70,1,1.16036,0 0 0,,
867,70,1,2.07867,0 0 0,,
868,70,1,0.704007,0 0 0,,
870,70,1,0.134361,0 0 0,,
871,70,1,0.579337,0 0 0,,
872,70,1,0.56517,0 0 0,,
875,70,1,0,0 0 0,,
876,70,1,2.18251,0 0 0,,
877,71,1,0.810153,0 0 0,,
878,71,1,1.25571,0 0 0,,
879,71,1,107.223,0 0 0,,
880,71,1,0.770104,0 0 0,,
882,71,1,0.356111,0 0 0,,
883,71,1,0.826278,0 0 0,,
884,71,1,20937.5,0 0 0,,
885,71,1,0.423971,0 0 0,,
886,71,1,1.99382,0 0 0,,
887,71,1,0.635996,0 0 0,,
888,71,1,0.194065,0 0 0,,
889,71,1,0.317273,0 0 0,,
890,71,1,0.0891303,0 0 0,,
891,71,1,1.07425,0 0 0,,
892,71,1,1.10294,0 0 0,,
893,71,1,0.643228,0 0 0,,
894,71,1,1.10324,0 0 0,,
897,71,1,17716.8,0 0 0,,
898,71,1,26666.1,0 0 0,,
899,71,1,0.842867,0 0 0,,
900,71,1,0.7832,0 0 0,,
902,71,1,1.06091,0 0 0,,
904,71,1,2.04372,0 0 0,,
905,71,1,35476,0 0 0,,
906,71,1,0.513521,0 0 0,,
907,71,1,0.815138,0 0 0,,
908,71,1,3.78327,0 0 0,,
911,71,1,0.513748,0 0 0,,
912,71,1,0.734946,0 0 0,,
913,71,1,0.559065,0 0 0,,
917,71,1,11977.6,0 0 0,,
918,71,1,4328.45,0 0 0,,
919,71,1,0.449827,0 0 0,,
920,71,1,1.81125,0 0 0,,
922,72,1,1.02862,0 0 0,,
923,72,1,0.854052,0 0 0,,
924,72,1,0.689103,0 0 0,,
925,72,1,0.820285,0 0 0,,
926,72,1,0.322282,0 0 0,,
927,72,1,1.11277,0 0 0,,
928,72,1,1.92924,0 0 0,,
929,72,1,0.455983,0 0 0,,
930,72,1,3.02265,0 0 0,,
931,72,1,0.904249,0 0 0,,
